FECHA,HORA,PAR,VALOR_OP,LEVERAGE,LONG_EXCH,LONG_RATE,LONG_NEXT,LONG_INTERVAL,LONG_VOL_1M,LONG_FEE_TAKER,LONG_FEE_MAKER,SHORT_EXCH,SHORT_RATE,SHORT_NEXT,SHORT_INTERVAL,SHORT_VOL_1M,SHORT_FEE_TAKER,SHORT_FEE_MAKER,SPREAD,ASYMMETRIC
2026-05-31,11:00,AGG/USDT:USDT,500,10,gateio,-0.0002,N/A,8.0,127.86316666666653,0.0005,0.0002,toobit,0.006,N/A,8.0,11696.872333333333,0.0005,0.0002,0.0062,No
2026-05-31,19:00,AGG/USDT:USDT,500,10,gateio,-0.0002,N/A,8.0,127.86316666666653,0.0005,0.0002,toobit,0.006,N/A,8.0,11696.872333333333,0.0005,0.0002,0.0062,No
2026-05-31,11:00,AIGENSYN/USDT:USDT,500,10,bitget,-0.004529,N/A,4.0,4217.9563726666665,0.0006,0.0002,toobit,1.1279007036518e-05,N/A,4.0,3212.4247316666665,0.0005,0.0002,0.004540279007036518,No
2026-05-31,19:00,AIGENSYN/USDT:USDT,500,10,bitget,-0.004529,N/A,4.0,4217.9563726666665,0.0006,0.0002,toobit,1.1279007036518e-05,N/A,4.0,3212.4247316666665,0.0005,0.0002,0.004540279007036518,No
2026-05-31,11:00,DELL/USDT:USDT,500,10,bitget,0.001,N/A,8.0,459.92002833333333,0.0006,0.0002,gateio,0.012047,N/A,8.0,84704.32516666666,0.0005,0.0002,0.011047000000000001,No
2026-05-31,19:00,DELL/USDT:USDT,500,10,bitget,0.001,N/A,8.0,459.92002833333333,0.0006,0.0002,gateio,0.012047,N/A,8.0,84704.32516666666,0.0005,0.0002,0.011047000000000001,No
2026-05-31,11:00,DELL/USDT:USDT,500,10,okx,0.0038372891862127,N/A,8.0,3810.6257166666664,0.0005,0.0002,gateio,0.012047,N/A,8.0,84704.32516666666,0.0005,0.0002,0.0082097108137873,No
2026-05-31,19:00,DELL/USDT:USDT,500,10,okx,0.0038372891862127,N/A,8.0,3810.6257166666664,0.0005,0.0002,gateio,0.012047,N/A,8.0,84704.32516666666,0.0005,0.0002,0.0082097108137873,No
2026-05-31,11:00,GUN/USDT:USDT,500,10,toobit,-0.004081547220523915,N/A,4.0,15228.197455499998,0.0005,0.0002,bingx,5e-05,N/A,4.0,5448.838662816665,0.0005,0.0002,0.004131547220523914,No
2026-05-31,19:00,GUN/USDT:USDT,500,10,toobit,-0.004081547220523915,N/A,4.0,15228.197455499998,0.0005,0.0002,bingx,5e-05,N/A,4.0,5448.838662816665,0.0005,0.0002,0.004131547220523914,No
2026-05-31,11:00,GUN/USDT:USDT,500,10,toobit,-0.004081547220523915,N/A,4.0,15236.824885166665,0.0005,0.0002,bitget,1.9e-05,N/A,4.0,15968.043208166668,0.0006,0.0002,0.004100547220523915,No
2026-05-31,19:00,GUN/USDT:USDT,500,10,toobit,-0.004081547220523915,N/A,4.0,15236.824885166665,0.0005,0.0002,bitget,1.9e-05,N/A,4.0,15969.4910095,0.0006,0.0002,0.004100547220523915,No
2026-05-31,11:00,IBM/USDT:USDT,500,10,okx,0.0001,N/A,8.0,7745.500816666668,0.0005,0.0002,gateio,0.015,N/A,8.0,194325.04766666674,0.0005,0.0002,0.0149,No
2026-05-31,19:00,IBM/USDT:USDT,500,10,okx,0.0001,N/A,8.0,7745.500816666668,0.0005,0.0002,gateio,0.015,N/A,8.0,194325.04766666674,0.0005,0.0002,0.0149,No
2026-05-31,11:00,IEFA/USDT:USDT,500,10,toobit,-0.016831973595734535,N/A,8.0,9679.105,0.0005,0.0002,gateio,0.0001,N/A,8.000277777777777,115.99199999999992,0.0005,0.0002,0.016931973595734534,Yes
2026-05-31,19:00,IEFA/USDT:USDT,500,10,toobit,-0.016831973595734535,N/A,8.0,9679.105,0.0005,0.0002,gateio,0.0001,N/A,8.000277777777777,115.99199999999992,0.0005,0.0002,0.016931973595734534,Yes
2026-05-31,11:00,LAB/USDT:USDT,500,10,deepcoin,-0.007881,N/A,4.0,447601.08446,0.0015,0.001,htx,-0.003636550758644235,N/A,4.0,2076.9919733333336,0.0005,0.0002,0.004244449241355766,No
2026-05-31,19:00,LAB/USDT:USDT,500,10,deepcoin,-0.007881,N/A,4.0,447601.08446,0.0015,0.001,htx,-0.003636550758644235,N/A,4.0,2080.7230200000004,0.0005,0.0002,0.004244449241355766,No
2026-05-31,11:00,LAB/USDT:USDT,500,10,okx,-0.0083803998259665,N/A,4.0,982278.3222666667,0.0005,0.0002,htx,-0.003636550758644235,N/A,4.0,2080.7230200000004,0.0005,0.0002,0.0047438490673222655,No
2026-05-31,19:00,LAB/USDT:USDT,500,10,okx,-0.0083803998259665,N/A,4.0,982158.0865166667,0.0005,0.0002,htx,-0.003636550758644235,N/A,4.0,2080.7230200000004,0.0005,0.0002,0.0047438490673222655,No
2026-05-31,11:00,OP/USDT:USDT,500,10,coinex,0.0,N/A,7.999849722222222,58.714433261512305,0.001,0.001,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004833284843571591,Yes
2026-05-31,19:00,OP/USDT:USDT,500,10,coinex,0.0,N/A,7.999849722222222,58.714433261512305,0.001,0.001,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004833284843571591,Yes
2026-05-31,11:00,OP/USDT:USDT,500,10,deepcoin,8.4e-05,N/A,8.0,2236.9132849999996,0.0015,0.001,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004749284843571591,No
2026-05-31,19:00,OP/USDT:USDT,500,10,deepcoin,8.4e-05,N/A,8.0,2236.9132849999996,0.0015,0.001,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004749284843571591,No
2026-05-31,11:00,OP/USDT:USDT,500,10,toobit,0.000101455563539189,N/A,8.0,8855.536016666667,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.0047318292800324025,No
2026-05-31,19:00,OP/USDT:USDT,500,10,toobit,0.000101455563539189,N/A,8.0,8899.128663333333,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.0047318292800324025,No
2026-05-31,11:00,OP/USDT:USDT,500,10,bingx,0.0001,N/A,8.0,2946.416022499999,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004733284843571591,No
2026-05-31,19:00,OP/USDT:USDT,500,10,bingx,0.0001,N/A,8.0,2946.7949539999986,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004733284843571591,No
2026-05-31,11:00,OP/USDT:USDT,500,10,bitget,-4.8e-05,N/A,8.0,2451.0404940000003,0.0006,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.0048812848435715915,No
2026-05-31,19:00,OP/USDT:USDT,500,10,bitget,-4.8e-05,N/A,8.0,2451.0404940000003,0.0006,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.0048812848435715915,No
2026-05-31,11:00,OP/USDT:USDT,500,10,okx,4.99037340831e-05,N/A,8.0,8332.702799999997,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004783381109488491,No
2026-05-31,19:00,OP/USDT:USDT,500,10,okx,4.99037340831e-05,N/A,8.0,8332.702799999997,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004783381109488491,No
2026-05-31,11:00,OP/USDT:USDT,500,10,gateio,7.4e-05,N/A,8.0,212.41865733333336,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004759284843571591,No
2026-05-31,19:00,OP/USDT:USDT,500,10,gateio,7.4e-05,N/A,8.0,212.41865733333336,0.0005,0.0002,htx,0.004833284843571591,N/A,8.0,13.806143333333331,0.0005,0.0002,0.004759284843571591,No
2026-05-31,11:00,ZORA/USDT:USDT,500,10,bitget,-0.002549,N/A,4.0,949.4428365000003,0.0006,0.0002,deepcoin,0.002353,N/A,4.0,2718.5841106666653,0.0015,0.001,0.004902,No
2026-05-31,19:00,ZORA/USDT:USDT,500,10,bitget,-0.002549,N/A,4.0,949.4428365000003,0.0006,0.0002,deepcoin,0.002353,N/A,4.0,2719.2496211666653,0.0015,0.001,0.004902,No
2026-05-31,11:00,币安人生/USDT:USDT,500,10,htx,-0.00378056158895243,N/A,4.0,3639.112163333333,0.0005,0.0002,gateio,0.000445,N/A,8.0,1736.2942408333333,0.0005,0.0002,0.0042255615889524294,Yes
2026-05-31,19:00,币安人生/USDT:USDT,500,10,htx,-0.00378056158895243,N/A,4.0,3639.112163333333,0.0005,0.0002,gateio,0.000445,N/A,8.0,1736.2942408333333,0.0005,0.0002,0.0042255615889524294,Yes
